"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Kgs. Enghave - Holmene";521102
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Valby - Gl. Valby";464657
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Valby - Syd";412596
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Valby - Ålholm";436001
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Valby - Valby Sydvest";398360
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Valby - Vigerslev";370483
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vanløse - Jyllingevej Kvarter";479370
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vanløse - Jernbane Allé Kvarter";410619
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vanløse - Sallingvej Kvarter";428833
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Vanløse - Grøndals Park Kvarter";420272
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Brønshøj-Husum - Husum";423158
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Brønshøj-Husum - Husum Nord";320521
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Brønshøj-Husum - Tingbjerg";283643
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Brønshøj-Husum - Brønshøj";484558
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Brønshøj-Husum - Bellahøj";311575
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Bispebjerg - Emdrup";411494
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Bispebjerg- Ryparken-Lundehus";376680
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Bispebjerg - Bispebjerg";371634
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Bispebjerg - Utterslev";360899
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Bispebjerg - Nordvest";350392
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Øst - Amagerbro Øst";369303
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Øst - Sundbyøster";410201
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Øst - Villakvartererne";458019
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Øst - Nordøstamager";542691
"Personal income in total (ex. imputed rent and before deductions of interest expenses)";"Sex total";"Average income for people with the type of income (DKK)";"Amager Vest - Amagerbro Vest";412624
